Number,Base ms,Miller ms
464,0.000041,0.000125
465,0.000125,0.000208
466,0.000041,0.000084
467,0.000125,0.054959
468,0.000125,0.000125
469,0.000084,0.000167
470,0.000084,0.000083
471,0.000125,0.000125
472,0.000084,0.000083
473,0.000083,0.000167
474,0.000083,0.000083
475,0.000084,0.000083
476,0.000125,0.000125
477,0.000125,0.000208
478,0.000083,0.000083
479,0.000125,0.063125
480,0.000083,0.000125
481,0.000084,0.000209
482,0.000042,0.000125
483,0.000125,0.000125
484,0.000042,0.000083
485,0.000084,0.000125
486,0.000042,0.000125
487,0.000125,0.060167
488,0.000042,0.000084
489,0.000042,0.000125
490,0.000125,0.000083
491,0.000125,0.061250
492,0.000042,0.000083
493,0.000167,0.000125
494,0.000084,0.000083
495,0.000125,0.000125
496,0.000083,0.000084
497,0.000083,0.000125
498,0.000042,0.000083
499,0.000125,0.059208
500,0.000041,0.000125
501,0.000042,0.000167
502,0.000125,0.000083
503,0.000083,0.055209
504,0.000125,0.000083
505,0.000125,0.000167
506,0.000042,0.000083
507,0.000042,0.000166
508,0.000125,0.000083
509,0.000125,0.059792
510,0.000042,0.000125
511,0.000125,0.000166
512,0.000084,0.000083
513,0.000125,0.000083
514,0.000083,0.000125
515,0.000042,0.000125
516,0.000041,0.000125
517,0.000084,0.000125
518,0.000042,0.000083
519,0.000083,0.000166
520,0.000042,0.000083
521,0.000083,0.054375
522,0.000084,0.000125
523,0.000125,0.060500
524,0.000083,0.000125
525,0.000084,0.000125
526,0.000084,0.000083
527,0.000125,0.000125
528,0.000125,0.000125
529,0.000084,0.000125
530,0.000125,0.000083
531,0.000041,0.000125
532,0.000042,0.000083
533,0.000125,0.000125
534,0.000125,0.000125
535,0.000125,0.000167
536,0.000125,0.000084
537,0.000083,0.000125
538,0.000084,0.000083
539,0.000041,0.000084
540,0.000084,0.000083
541,0.000083,0.060500
542,0.000084,0.000084
543,0.000084,0.000083
544,0.000041,0.000084
545,0.000041,0.000125
546,0.000125,0.000083
547,0.000250,0.064125
548,0.000042,0.000125
549,0.000083,0.000166
550,0.000083,0.000084
551,0.000125,0.000083
552,0.000084,0.000083
553,0.000041,0.000125
554,0.000083,0.000084
555,0.000083,0.000083
556,0.000083,0.000125
557,0.000084,0.055500
558,0.000042,0.000083
559,0.000041,0.000167
560,0.000084,0.000083
561,0.000125,0.000125
562,0.000125,0.000083
563,0.000083,0.058333
564,0.000042,0.000083
565,0.000042,0.000125
566,0.000125,0.000083
567,0.000250,0.000625
568,0.000125,0.000083
569,0.000125,0.065208
570,0.000125,0.000084
571,0.000125,0.055333
572,0.000083,0.000083
573,0.000083,0.000125
574,0.000042,0.000083
575,0.000083,0.000167
576,0.000084,0.000083
577,0.000125,0.058959
578,0.000042,0.000083
579,0.000083,0.000125
580,0.000084,0.000083
581,0.000084,0.000125
582,0.000125,0.000083
583,0.000125,0.000167
584,0.000083,0.000084
585,0.000083,0.000125
586,0.000042,0.000125
587,0.000125,0.061750
588,0.000084,0.000125
589,0.000125,0.000167
590,0.000083,0.000084
591,0.000083,0.000084
592,0.000083,0.000125
